Data;UF;Cidade;Regiao;CodigoEstacao;Latitude;Longitude;Altitude;ArquivoFonte;Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);Unnamed: 7;Unnamed: 6
20111130.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2011-11-30;13,0;385,4;886,8;21,2;9,4;3,8;;
20111231.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2011-12-31;25,0;472,2;886,7;21,1;9,1;3,5;;
20120131.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2012-01-31;25,0;466,4;887,5;20,5;10,6;3,4;;
20120229.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2012-02-29;17,0;203,8;887,7;21,6;10,1;3,3;;
20120331.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2012-03-31;18,0;208,8;888,2;22,1;8,3;3,1;;
20120430.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2012-04-30;14,0;299,8;888,2;22,3;9,2;3,0;;
20120531.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2012-05-31;4,0;37,0;890,0;19,8;10,4;3,9;;
20120630.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2012-06-30;2,0;9,0;890,9;20,7;9,2;3,6;;
20120731.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2012-07-31;3,0;3,6;890,9;20,2;12,7;3,9;;
20120831.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2012-08-31;;0,0;892,2;19,7;11,4;4,7;;
