Data;DataExcel;Regiao;Sistema;Classe;TipoConsumidor;Consumo;Consumidores;DataVersao
20241201;01/12/2024;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;142.632,4;569.337;22/09/2025
20241201;01/12/2024;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;208.260,9;795.244;22/09/2025
20241201;01/12/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.859.121,7;36.581.901;22/09/2025
20241201;01/12/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;749,3;20;22/09/2025
20241201;01/12/2024;Sul;SUL;Residencial;Cativo;2.432.488,1;11.833.883;22/09/2025
20241201;01/12/2024;Sul;SUL;Residencial;Livre;48,0;3;22/09/2025
20241101;01/11/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.443.020,2;6.452.044;22/09/2025
20241101;01/11/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;38,7;4;22/09/2025
20241101;01/11/2024;Nordeste;NORDESTE;Residencial;Cativo;2.709.090,0;20.113.567;22/09/2025
20241101;01/11/2024;Nordeste;NORDESTE;Residencial;Livre;55,2;2;22/09/2025
20241101;01/11/2024;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;468.394,9;2.564.768;22/09/2025
20241101;01/11/2024;Nordeste;NORTE INTERLIGADO;Residencial;Livre;65,5;2;22/09/2025
20241101;01/11/2024;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;1.034,0;768;22/09/2025
20241101;01/11/2024;Norte;NORTE INTERLIGADO;Residencial;Cativo;894.282,7;4.002.445;22/09/2025
20241101;01/11/2024;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;158.816,5;612.547;22/09/2025
20241101;01/11/2024;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;205.823,2;755.430;22/09/2025
20241101;01/11/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.531.366,1;36.598.829;22/09/2025
20241101;01/11/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;695,4;14;22/09/2025
20241101;01/11/2024;Sul;SUL;Residencial;Cativo;2.387.915,6;11.804.001;22/09/2025
20241101;01/11/2024;Sul;SUL;Residencial;Livre;51,0;3;22/09/2025
20241001;01/10/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.581.609,5;6.445.712;22/09/2025
20241001;01/10/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;23,5;2;22/09/2025
20241001;01/10/2024;Nordeste;NORDESTE;Residencial;Cativo;2.507.810,4;20.061.761;22/09/2025
20241001;01/10/2024;Nordeste;NORDESTE;Residencial;Livre;62,2;2;22/09/2025
20241001;01/10/2024;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;457.547,4;2.561.277;22/09/2025
20241001;01/10/2024;Nordeste;NORTE INTERLIGADO;Residencial;Livre;62,0;2;22/09/2025
20241001;01/10/2024;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;735,0;766;22/09/2025
20241001;01/10/2024;Norte;NORTE INTERLIGADO;Residencial;Cativo;924.109,1;4.033.828;22/09/2025
20241001;01/10/2024;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;157.101,8;619.038;22/09/2025
20241001;01/10/2024;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;239.657,9;757.942;22/09/2025
20241001;01/10/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.931.408,8;36.527.521;22/09/2025
20241001;01/10/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;624,1;11;22/09/2025
20241001;01/10/2024;Sul;SUL;Residencial;Cativo;2.278.481,5;11.866.271;22/09/2025
20241001;01/10/2024;Sul;SUL;Residencial;Livre;22,4;2;22/09/2025
20240901;01/09/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.377.488,0;6.429.269;22/09/2025
20240901;01/09/2024;Nordeste;NORDESTE;Residencial;Cativo;2.504.923,2;19.920.641;22/09/2025
20240901;01/09/2024;Nordeste;NORDESTE;Residencial;Livre;51,1;2;22/09/2025
20240901;01/09/2024;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;448.130,5;2.554.084;22/09/2025
20240901;01/09/2024;Nordeste;NORTE INTERLIGADO;Residencial;Livre;65,6;2;22/09/2025
20240901;01/09/2024;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;926,0;746;22/09/2025
20240901;01/09/2024;Norte;NORTE INTERLIGADO;Residencial;Cativo;906.520,5;4.047.394;22/09/2025
20240901;01/09/2024;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;151.744,1;611.946;22/09/2025
20240901;01/09/2024;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;216.569,9;752.275;22/09/2025
20240901;01/09/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.386.035,4;36.462.924;22/09/2025
20240901;01/09/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;623,0;7;22/09/2025
20240901;01/09/2024;Sul;SUL;Residencial;Cativo;2.215.817,8;11.762.236;22/09/2025
20240901;01/09/2024;Sul;SUL;Residencial;Livre;18,4;2;22/09/2025
20240801;01/08/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.229.234,4;6.407.907;22/09/2025
20240801;01/08/2024;Nordeste;NORDESTE;Residencial;Cativo;2.417.100,7;19.889.347;22/09/2025
20240801;01/08/2024;Nordeste;NORDESTE;Residencial;Livre;31,4;1;22/09/2025
20240801;01/08/2024;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;421.378,8;2.558.661;22/09/2025
20240801;01/08/2024;Nordeste;NORTE INTERLIGADO;Residencial;Livre;67,3;2;22/09/2025
20240801;01/08/2024;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;978,0;725;22/09/2025
20240801;01/08/2024;Norte;NORTE INTERLIGADO;Residencial;Cativo;864.148,6;3.976.839;22/09/2025
20240801;01/08/2024;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;138.676,6;600.546;22/09/2025
20240801;01/08/2024;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;198.118,2;750.590;22/09/2025
20240801;01/08/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.140.165,8;36.437.403;22/09/2025
20240801;01/08/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;409,1;6;22/09/2025
20240801;01/08/2024;Sul;SUL;Residencial;Cativo;2.334.271,0;11.922.732;22/09/2025
20240801;01/08/2024;Sul;SUL;Residencial;Livre;21,5;2;22/09/2025
20240701;01/07/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.194.277,1;6.390.388;22/09/2025
20240701;01/07/2024;Nordeste;NORDESTE;Residencial;Cativo;2.380.085,0;19.892.866;22/09/2025
20240701;01/07/2024;Nordeste;NORDESTE;Residencial;Livre;33,7;1;22/09/2025
20240701;01/07/2024;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;416.084,6;2.603.866;22/09/2025
20240701;01/07/2024;Nordeste;NORTE INTERLIGADO;Residencial;Livre;61,6;1;22/09/2025
20240701;01/07/2024;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;886,0;724;22/09/2025
20240701;01/07/2024;Norte;NORTE INTERLIGADO;Residencial;Cativo;818.953,1;3.981.558;22/09/2025
20240701;01/07/2024;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;132.689,8;617.660;22/09/2025
20240701;01/07/2024;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;192.132,6;746.197;22/09/2025
20240701;01/07/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.056.316,7;36.404.141;22/09/2025
20240701;01/07/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;576,1;6;22/09/2025
20240701;01/07/2024;Sul;SUL;Residencial;Cativo;2.239.179,3;11.536.241;22/09/2025
20240701;01/07/2024;Sul;SUL;Residencial;Livre;13,6;2;22/09/2025
20240601;01/06/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.232.245,1;6.361.663;22/09/2025
20240601;01/06/2024;Nordeste;NORDESTE;Residencial;Cativo;2.559.749,2;19.769.850;22/09/2025
20240601;01/06/2024;Nordeste;NORDESTE;Residencial;Livre;41,2;1;22/09/2025
20240601;01/06/2024;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;436.711,6;2.540.932;22/09/2025
20240601;01/06/2024;Nordeste;NORTE INTERLIGADO;Residencial;Livre;57,5;1;22/09/2025
20240601;01/06/2024;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;744,0;644;22/09/2025
20240601;01/06/2024;Norte;NORTE INTERLIGADO;Residencial;Cativo;807.188,5;3.976.668;22/09/2025
20240601;01/06/2024;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;124.668,3;616.433;22/09/2025
20240601;01/06/2024;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;185.308,5;741.249;22/09/2025
20240601;01/06/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.357.941,8;36.367.418;22/09/2025
20240601;01/06/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;499,7;6;22/09/2025
20240601;01/06/2024;Sul;SUL;Residencial;Cativo;2.264.667,1;11.468.864;22/09/2025
20240601;01/06/2024;Sul;SUL;Residencial;Livre;9,1;2;22/09/2025
20240501;01/05/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.396.686,0;6.352.533;22/09/2025
