MesAno;Regiao;Consumo;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);Estacao
2005-07;Nordeste;1047171,8;234,0;768,8;980,6133333333333;21,55625;7,457692307692308;3,033333333333333;inverno
2005-07;Norte;356661,3;27,0;179,4;1006,95;27,25;4,266666666666667;1,6500000000000001;inverno
2005-07;Sudeste;3626333,3;129,0;458,4;955,5692307692308;18,546666666666667;6,507142857142857;1,9846153846153847;inverno
2005-07;Sul;1112987,6;59,0;357,4;979,75;16,183333333333334;8,26;2,56;inverno
2005-08;Centro-Oeste;507765,4;24,0;157,0;954,8333333333334;24,508333333333336;6,716666666666666;2,091666666666667;inverno
2005-08;Nordeste;1071288,7;249,0;1072,2;983,3066666666667;23,927777777777777;7,5760000000000005;3,546666666666667;inverno
2005-08;Norte;360832,6;21,0;83,80000000000001;1005,75;27,950000000000003;5,666666666666667;1,9000000000000001;inverno
2005-08;Sudeste;3635143,4;85,0;139,6;950,4642857142857;20,986666666666668;6,457142857142857;2,1357142857142857;inverno
2005-08;Sul;1129754,0;46,0;240,6;977,0500000000001;18,400000000000002;10,22;3,16;inverno
2005-09;Centro-Oeste;539782,9;74,0;408,0;954,0214285714285;24,37142857142857;7,628571428571428;2,4714285714285715;primavera
2005-09;Nordeste;1077986,3;165,0;148,2;985,9782608695652;24,928571428571427;7,7749999999999995;3,2;primavera
2005-09;Norte;381555,0;32,0;47,8;1006,7000000000002;27,866666666666664;5,166666666666667;2,0;primavera
2005-09;Sudeste;3819948,1;135,0;303,79999999999995;944,1538461538462;21,185714285714287;7,235714285714286;2,4;primavera
2005-09;Sul;1130082,2;70,0;79,6;977,8833333333333;17,183333333333334;9,620000000000001;2,78;primavera
2005-10;Centro-Oeste;546683,4;110,0;412,8;956,9230769230769;26,684615384615384;8,678571428571429;1,9538461538461538;primavera
2005-10;Nordeste;1112111,1;142,0;500,80000000000007;983,4846153846154;25,776;7,8999999999999995;3,1958333333333333;primavera
2005-10;Norte;372756,5;32,0;278,6;1005,5;28,0;5,466666666666666;1,9333333333333333;primavera
2005-10;Sudeste;3773673,1;128,0;399,0;941,6076923076923;24,353333333333335;7,406666666666666;2,1307692307692307;primavera
2005-10;Sul;1112763,3;79,0;251,6;974,4;20,166666666666668;9,68;2,7600000000000002;primavera
2005-11;Centro-Oeste;550947,7999999999;165,0;943,2;945,5625;24,827272727272728;6,585714285714286;1,875;primavera
2005-11;Nordeste;1149668,2;187,0;1028,6;986,05;25,621052631578948;7,205;3,1999999999999997;primavera
2005-11;Norte;384562,1;23,0;0,0;1004,0;27,8;5,333333333333333;1,9000000000000001;primavera
2005-11;Sudeste;3774517,7;121,0;0,0;937,6111111111111;22,083333333333332;6,878571428571428;1,9125;primavera
2005-11;Sul;1116744,9;57,0;278,8;987,75;21,259999999999998;8,85;3,05;primavera
2005-12;Centro-Oeste;528775,1;270,0;3292,4;950,3928571428571;24,407142857142855;7,214285714285714;1,9214285714285713;verão
2005-12;Nordeste;1161649,0999999999;231,0;2202,2;976,5368421052632;25,55;6,891304347826087;2,55;verão
2005-12;Norte;360952,9;56,0;754,8;1004,65;26,85;5,5;1,1;verão
2005-12;Sudeste;3869508,3;237,0;2209,0;939,6692307692308;22,6;6,573333333333333;1,9416666666666667;verão
2005-12;Sul;1156844,2;60,0;723,4;985,0;23,14;7,94;2,7;verão
2006-01;Centro-Oeste;527223,7;206,0;1783,4;949,8230769230769;25,142857142857142;7,3500000000000005;1,9076923076923078;verão
2006-01;Nordeste;1175576,2;230,0;1072,4;977,5649999999999;25,919999999999998;6,943478260869565;2,911111111111111;verão
2006-01;Norte;352085,9;47,0;0,0;1004,95;27,5;6,333333333333333;1,1;verão
2006-01;Sudeste;3895001,6;167,0;1949,4;940,823076923077;24,1;6,253846153846154;1,7846153846153845;verão
2006-01;Sul;1217744,5;65,0;695,2;985,04;25,259999999999998;8,14;2,44;verão
2006-02;Centro-Oeste;533084,2;193,0;0,0;949,6615384615385;24,72307692307692;6,928571428571429;1,676923076923077;verão
2006-02;Nordeste;1126753,5;179,0;0,0;976,1863636363636;26,24761904761905;7,695454545454546;2,43;verão
2006-02;Norte;343002,3;37,0;0,0;1005,6;27,700000000000003;5,3;1,15;verão
2006-02;Sudeste;3891194,9;144,0;0,0;933,5083333333333;24,5;6,346153846153846;1,75;verão
2006-02;Sul;1237780,7;57,0;0,0;984,0799999999999;24,419999999999998;6,9;2,2399999999999998;verão
2006-03;Centro-Oeste;531347,1;249,0;2768,6;950,1307692307693;24,66923076923077;6,192857142857143;1,6307692307692307;outono
2006-03;Nordeste;1204843,0999999999;344,0;3181,4;974,757142857143;25,517391304347825;6,790909090909091;2,0789473684210527;outono
2006-03;Norte;344412,8;59,0;614,5999999999999;1004,55;26,4;6,15;1,5;outono
